,,,,,,,,,,,,,
Overlap Results,,,,,,,,,,,,
,,,,,,,,,,,,,
Collection(s):,"C1, C2, C3, C4, C5, C6, C7, H",,,,,,,,,,,
# overlaps shown:,10,,,,,,,,,,,
# genesets in collections:,25724,,,,,,,,,,,
# genes in comparison (n):,1105,,,,,,,,,,,
# genes in universe (N):,38404,,,,,,,,,,,
,,,,,,,,,,,,,
Gene Set Name,# Genes in Gene Set (K),Description,# Genes in Overlap (k),k/K,p-value,FDR q-value,,,,,,
4760,NEUROD1,neuronal differentiation 1 [Source:HGNC Symbol;Acc:HGNC:7762],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,BENPORATH_ES_WITH_H3K27ME3,GO_TRANSCRIPTION_REGULATOR_ACTIVITY,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,,BENPORATH_SUZ12_TARGETS,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
5080,PAX6,paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,BENPORATH_ES_WITH_H3K27ME3,GO_TRANSCRIPTION_REGULATOR_ACTIVITY,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,,BENPORATH_SUZ12_TARGETS,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
429,ASCL1,achaete-scute family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:738],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,BENPORATH_ES_WITH_H3K27ME3,GO_TRANSCRIPTION_REGULATOR_ACTIVITY,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,,BENPORATH_SUZ12_TARGETS,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
1749,DLX5,distal-less homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2918],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,BENPORATH_ES_WITH_H3K27ME3,GO_TRANSCRIPTION_REGULATOR_ACTIVITY,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,,,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
7349,UCN,urocortin [Source:HGNC Symbol;Acc:HGNC:12516],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,BENPORATH_ES_WITH_H3K27ME3,,,,BENPORATH_SUZ12_TARGETS,,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
7475,WNT6,Wnt family member 6 [Source:HGNC Symbol;Acc:HGNC:12785],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,BENPORATH_ES_WITH_H3K27ME3,,,,BENPORATH_SUZ12_TARGETS,,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
4036,LRP2,LDL receptor related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,BENPORATH_ES_WITH_H3K27ME3,,,,BENPORATH_SUZ12_TARGETS,,
2706,GJB2,gap junction protein beta 2 [Source:HGNC Symbol;Acc:HGNC:4284],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,BENPORATH_ES_WITH_H3K27ME3,,,,BENPORATH_SUZ12_TARGETS,,
3756,KCNH1,potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,BENPORATH_ES_WITH_H3K27ME3,,,,BENPORATH_SUZ12_TARGETS,,
7781,SLC30A3,solute carrier family 30 member 3 [Source:HGNC Symbol;Acc:HGNC:11014],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,BENPORATH_ES_WITH_H3K27ME3,,,,BENPORATH_SUZ12_TARGETS,,
23416,KCNH3,potassium voltage-gated channel subfamily H member 3 [Source:HGNC Symbol;Acc:HGNC:6252],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,BENPORATH_ES_WITH_H3K27ME3,,,,BENPORATH_SUZ12_TARGETS,,
26507,CNNM1,cyclin and CBS domain divalent metal cation transport mediator 1 [Source:HGNC Symbol;Acc:HGNC:102],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,BENPORATH_ES_WITH_H3K27ME3,,,,BENPORATH_SUZ12_TARGETS,,
170692,ADAMTS18,ADAM metallopeptidase with thrombospondin type 1 motif 18 [Source:HGNC Symbol;Acc:HGNC:17110],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,BENPORATH_ES_WITH_H3K27ME3,,,,BENPORATH_SUZ12_TARGETS,,
9547,CXCL14,C-X-C motif chemokine ligand 14 [Source:HGNC Symbol;Acc:HGNC:10640],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,BENPORATH_ES_WITH_H3K27ME3,,,,BENPORATH_SUZ12_TARGETS,,
29091,STXBP6,syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,BENPORATH_ES_WITH_H3K27ME3,,,,BENPORATH_SUZ12_TARGETS,,
140689,CBLN4,cerebellin 4 precursor [Source:HGNC Symbol;Acc:HGNC:16231],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,BENPORATH_ES_WITH_H3K27ME3,,,,BENPORATH_SUZ12_TARGETS,,
9118,INA,internexin neuronal intermediate filament protein alpha [Source:HGNC Symbol;Acc:HGNC:6057],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,BENPORATH_ES_WITH_H3K27ME3,,,,BENPORATH_SUZ12_TARGETS,,
53405,CLIC5,chloride intracellular channel 5 [Source:HGNC Symbol;Acc:HGNC:13517],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,BENPORATH_ES_WITH_H3K27ME3,,,,,,
6581,SLC22A3,solute carrier family 22 member 3 [Source:HGNC Symbol;Acc:HGNC:10967],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,BENPORATH_ES_WITH_H3K27ME3,,,,,,
6656,SOX1,SRY-box transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11189],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,,GO_TRANSCRIPTION_REGULATOR_ACTIVITY,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,,BENPORATH_SUZ12_TARGETS,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
1690,COCH,cochlin [Source:HGNC Symbol;Acc:HGNC:2180],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,,,,,BENPORATH_SUZ12_TARGETS,,
84109,QRFPR,pyroglutamylated RFamide peptide receptor [Source:HGNC Symbol;Acc:HGNC:15565],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,BENPORATH_EED_TARGETS,,,,,,BENPORATH_SUZ12_TARGETS,,
9592,IER2,immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,HALLMARK_TNFA_SIGNALING_VIA_NFKB,,GO_TRANSCRIPTION_REGULATOR_ACTIVITY,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,AMIT_EGF_RESPONSE_40_HELA,,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
4929,NR4A2,nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,HALLMARK_TNFA_SIGNALING_VIA_NFKB,,GO_TRANSCRIPTION_REGULATOR_ACTIVITY,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,,,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
7538,ZFP36,ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,HALLMARK_TNFA_SIGNALING_VIA_NFKB,,,,AMIT_EGF_RESPONSE_40_HELA,,,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
80149,ZC3H12A,zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:HGNC:26259],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,HALLMARK_TNFA_SIGNALING_VIA_NFKB,,,,,,,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
23529,CLCF1,cardiotrophin like cytokine factor 1 [Source:HGNC Symbol;Acc:HGNC:17412],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,HALLMARK_TNFA_SIGNALING_VIA_NFKB,,,,,,,
6662,SOX9,SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,BENPORATH_ES_WITH_H3K27ME3,GO_TRANSCRIPTION_REGULATOR_ACTIVITY,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,,BENPORATH_SUZ12_TARGETS,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
81615,TMEM163,transmembrane protein 163 [Source:HGNC Symbol;Acc:HGNC:25380],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,BENPORATH_ES_WITH_H3K27ME3,,,,BENPORATH_SUZ12_TARGETS,,
80157,CWH43,cell wall biogenesis 43 C-terminal homolog [Source:HGNC Symbol;Acc:HGNC:26133],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,BENPORATH_ES_WITH_H3K27ME3,,,,BENPORATH_SUZ12_TARGETS,,
3790,KCNS3,potassium voltage-gated channel modifier subfamily S member 3 [Source:HGNC Symbol;Acc:HGNC:6302],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,BENPORATH_ES_WITH_H3K27ME3,,,,,,
9627,SNCAIP,synuclein alpha interacting protein [Source:HGNC Symbol;Acc:HGNC:11139],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,BENPORATH_ES_WITH_H3K27ME3,,,,,,
57565,KLHL14,kelch like family member 14 [Source:HGNC Symbol;Acc:HGNC:29266],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,BENPORATH_ES_WITH_H3K27ME3,,,,,,
2016,EMX1,empty spiracles homeobox 1 [Source:HGNC Symbol;Acc:HGNC:3340],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,GO_TRANSCRIPTION_REGULATOR_ACTIVITY,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,,BENPORATH_SUZ12_TARGETS,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,
51043,ZBTB7B,zinc finger and BTB domain containing 7B [Source:HGNC Symbol;Acc:HGNC:18668],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,GO_TRANSCRIPTION_REGULATOR_ACTIVITY,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,,,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
2297,FOXD1,forkhead box D1 [Source:HGNC Symbol;Acc:HGNC:3802],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,GO_TRANSCRIPTION_REGULATOR_ACTIVITY,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,,,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
4613,MYCN,"MYCN proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7559]",MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,GO_TRANSCRIPTION_REGULATOR_ACTIVITY,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,,,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
9580,SOX13,SRY-box transcription factor 13 [Source:HGNC Symbol;Acc:HGNC:11192],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,GO_TRANSCRIPTION_REGULATOR_ACTIVITY,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,,,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
7004,TEAD4,TEA domain transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11717],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,GO_TRANSCRIPTION_REGULATOR_ACTIVITY,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,,,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
678,ZFP36L2,ZFP36 ring finger protein like 2 [Source:HGNC Symbol;Acc:HGNC:1108],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,GO_TRANSCRIPTION_REGULATOR_ACTIVITY,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,,,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
639,PRDM1,PR/SET domain 1 [Source:HGNC Symbol;Acc:HGNC:9346],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,GO_TRANSCRIPTION_REGULATOR_ACTIVITY,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,,,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,
7764,ZNF217,zinc finger protein 217 [Source:HGNC Symbol;Acc:HGNC:13009],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,GO_TRANSCRIPTION_REGULATOR_ACTIVITY,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,,,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,
79625,NDNF,neuron derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:26256],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,BENPORATH_SUZ12_TARGETS,,
7093,TLL2,tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:11844],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,BENPORATH_SUZ12_TARGETS,,
7855,FZD5,frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
1028,CDKN1C,cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,GO_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS
5774,PTPN3,protein tyrosine phosphatase non-receptor type 3 [Source:HGNC Symbol;Acc:HGNC:9655],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
9254,CACNA2D2,calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
10343,PKDREJ,polycystin family receptor for egg jelly [Source:HGNC Symbol;Acc:HGNC:9015],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
479,ATP12A,ATPase H+/K+ transporting non-gastric alpha2 subunit [Source:HGNC Symbol;Acc:HGNC:13816],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
170850,KCNG3,potassium voltage-gated channel modifier subfamily G member 3 [Source:HGNC Symbol;Acc:HGNC:18306],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
222962,SLC29A4,solute carrier family 29 member 4 [Source:HGNC Symbol;Acc:HGNC:23097],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
3485,IGFBP2,insulin like growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5471],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
27164,SALL3,spalt like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10527],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
7048,TGFBR2,transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
928,CD9,CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
401190,RGS7BP,regulator of G protein signaling 7 binding protein [Source:HGNC Symbol;Acc:HGNC:23271],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
66037,BOLL,"boule homolog, RNA binding protein [Source:HGNC Symbol;Acc:HGNC:14273]",MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
10718,NRG3,neuregulin 3 [Source:HGNC Symbol;Acc:HGNC:7999],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
54437,SEMA5B,semaphorin 5B [Source:HGNC Symbol;Acc:HGNC:10737],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
7066,THPO,thrombopoietin [Source:HGNC Symbol;Acc:HGNC:11795],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
84929,FIBCD1,fibrinogen C domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25922],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
10018,BCL2L11,BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
2731,GLDC,glycine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4313],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
22800,RRAS2,RAS related 2 [Source:HGNC Symbol;Acc:HGNC:17271],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
80310,PDGFD,platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
54221,SNTG2,syntrophin gamma 2 [Source:HGNC Symbol;Acc:HGNC:13741],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
8854,ALDH1A2,aldehyde dehydrogenase 1 family member A2 [Source:HGNC Symbol;Acc:HGNC:15472],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
151742,PPM1L,"protein phosphatase, Mg2+/Mn2+ dependent 1L [Source:HGNC Symbol;Acc:HGNC:16381]",MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
55616,ASAP3,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]",MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
11098,PRSS23,serine protease 23 [Source:HGNC Symbol;Acc:HGNC:14370],MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,,,,,,,,,
